UKBPPP_ProteinID	olink_target_fullname	OlinkID	UniProt	Assay	Panel	Panel_Lot_Nr	UniProt2	HGNC.symbol	ensembl_id	chr	gene_start	gene_end	Strand	Dilution_factor	block	expansion
CETN3:O15182:OID31525:v1	Centrin-3	OID31525	O15182	CETN3	Oncology_II	B20705	O15182	CETN3	ENSG00000153140	5	90392257	90409766	-1	1:1	D	yes
CFB:P00751:OID30755:v1	Complement factor B	OID30755	P00751	CFB	Inflammation_II	B20704	P00751	CFB	ENSG00000243649	6	31945650	31952086	1	1:100000	D	yes
CFD:P00746:OID30738:v1	Complement factor D	OID30738	P00746	CFD	Inflammation_II	B20704	P00746	CFD	ENSG00000197766	19	859453	867884	1	1:100000	D	yes
CFH:P08603:OID30790:v1	Complement factor H	OID30790	P08603	CFH	Inflammation_II	B20704	P08603	CFH	ENSG00000000971	1	196651754	196752476	1	1:100000	D	yes
CFHR2:P36980:OID30720:v1	Complement factor H-related protein 2	OID30720	P36980	CFHR2	Inflammation_II	B20704	P36980	CFHR2	ENSG00000080910	1	196943738	196959622	1	1:100000	D	yes
CFHR4:Q92496:OID30758:v1	Complement factor H-related protein 4	OID30758	Q92496	CFHR4	Inflammation_II	B20704	Q92496	CFHR4	ENSG00000134365	1	196888014	196918795	1	1:100000	D	yes
CFHR5:Q9BXR6:OID30716:v1	Complement factor H-related protein 5	OID30716	Q9BXR6	CFHR5	Inflammation_II	B20704	Q9BXR6	CFHR5	ENSG00000134389	1	196975010	197009678	1	1:1000	C	yes
CFI:P05156:OID30772:v1	Complement factor I	OID30772	P05156	CFI	Inflammation_II	B20704	P05156	CFI	ENSG00000205403	4	109731008	109802150	-1	1:100000	D	yes
CFP:P27918:OID30784:v1	Properdin	OID30784	P27918	CFP	Inflammation_II	B20704	P27918	CFP	ENSG00000126759	X	47623172	47630305	-1	1:100000	D	yes
CGB3_CGB5_CGB8:P0DN86:OID30671:v1	Choriogonadotropin subunit beta 3	OID30671	P0DN86	CGB3_CGB5_CGB8	Inflammation_II	B20704	P0DN86	CGB5	ENSG00000189052	19	49043848	49045311	1	1:1000	C	yes
CGB3_CGB5_CGB8:P0DN86:OID30671:v1	Choriogonadotropin subunit beta 3	OID30671	P0DN86	CGB3_CGB5_CGB8	Inflammation_II	B20704	P0DN86	CGB8	ENSG00000213030	19	49047638	49049111	-1	1:1000	C	yes
CGB3_CGB5_CGB8:P0DN86:OID30671:v1	Choriogonadotropin subunit beta 3	OID30671	P0DN86	CGB3_CGB5_CGB8	Inflammation_II	B20704	P0DN86	CGB3	ENSG00000104827	19	49022869	49024333	-1	1:1000	C	yes
CGN:Q9P2M7:OID30894:v1	Cingulin	OID30894	Q9P2M7	CGN	Neurology_II	B20707	Q9P2M7	CGN	ENSG00000143375	1	151510510	151538692	1	1:1	B	yes
CHAD:O15335:OID30660:v1	Chondroadherin	OID30660	O15335	CHAD	Inflammation_II	B20704	O15335	CHAD	ENSG00000136457	17	50464496	50468906	-1	1:10	B	yes
CHCHD10:Q8WYQ3:OID31116:v1	Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial	OID31116	Q8WYQ3	CHCHD10	Neurology_II	B20707	Q8WYQ3	CHCHD10	ENSG00000250479	22	23765834	23767972	-1	1:1	D	yes
CHCHD6:Q9BRQ6:OID31426:v1	MICOS complex subunit MIC25	OID31426	Q9BRQ6	CHCHD6	Oncology_II	B20705	Q9BRQ6	CHCHD6	ENSG00000159685	3	126704240	126960420	1	1:1	C	yes
CHGA:P10645:OID30403:v1	Chromogranin-A	OID30403	P10645	CHGA	Cardiometabolic_II	B20706	P10645	CHGA	ENSG00000100604	14	92923150	92935285	1	1:100	D	yes
CHM:P24386:OID30972:v1	Rab proteins geranylgeranyltransferase component A 1	OID30972	P24386	CHM	Neurology_II	B20707	P24386	CHM	ENSG00000188419	X	85861180	86047561	-1	1:1	B	yes
CHMP6:Q96FZ7:OID30327:v1	Charged multivesicular body protein 6	OID30327	Q96FZ7	CHMP6	Cardiometabolic_II	B20706	Q96FZ7	CHMP6	ENSG00000176108	17	80991598	81009517	1	1:10	C	yes
CHP1:Q99653:OID30869:v1	Calcineurin B homologous protein 1	OID30869	Q99653	CHP1	Neurology_II	B20707	Q99653	CHP1	ENSG00000187446	15	41230839	41281887	1	1:1	A	yes
CHRM1:P11229:OID30930:v1	Muscarinic acetylcholine receptor M1	OID30930	P11229	CHRM1	Neurology_II	B20707	P11229	CHRM1	ENSG00000168539	11	62908679	62921807	-1	1:1	B	yes
CILP:O75339:OID30399:v1	Cartilage intermediate layer protein 1	OID30399	O75339	CILP	Cardiometabolic_II	B20706	O75339	CILP	ENSG00000138615	15	65194760	65211473	-1	1:100	D	yes
CINP:Q9BW66:OID31328:v1	Cyclin-dependent kinase 2-interacting protein	OID31328	Q9BW66	CINP	Oncology_II	B20705	Q9BW66	CINP	ENSG00000100865	14	102341102	102362916	-1	1:1	B	yes
CIRBP:Q14011:OID31503:v1	Cold-inducible RNA-binding protein	OID31503	Q14011	CIRBP	Oncology_II	B20705	Q14011	CIRBP	ENSG00000099622	19	1259384	1274880	1	1:1	D	yes
CIT:O14578:OID30970:v1	Citron Rho-interacting kinase	OID30970	O14578	CIT	Neurology_II	B20707	O14578	CIT	ENSG00000122966	12	119685791	119877320	-1	1:1	B	yes
CKB:P12277:OID30400:v1	Creatine kinase B-type	OID30400	P12277	CKB	Cardiometabolic_II	B20706	P12277	CKB	ENSG00000166165	14	103519667	103522833	-1	1:100	D	yes
CLASP1:Q7Z460:OID31192:v1	CLIP-associating protein 1	OID31192	Q7Z460	CLASP1	Oncology_II	B20705	Q7Z460	CLASP1	ENSG00000074054	2	121337776	121649476	-1	1:1	A	yes
CLEC12A:Q5QGZ9:OID30552:v1	C-type lectin domain family 12 member A	OID30552	Q5QGZ9	CLEC12A	Inflammation_II	B20704	Q5QGZ9	CLEC12A	ENSG00000172322	12	9951316	9995694	1	1:1	A	yes
CLEC2L:P0C7M8:OID30884:v1	C-type lectin domain family 2 member L	OID30884	P0C7M8	CLEC2L	Neurology_II	B20707	P0C7M8	CLEC2L	ENSG00000236279	7	139523685	139544985	1	1:1	B	yes
CLEC3B:P05452:OID30756:v1	Tetranectin	OID30756	P05452	CLEC3B	Inflammation_II	B20704	P05452	CLEC3B	ENSG00000163815	3	45001548	45036071	1	1:100000	D	yes
CLEC4M:Q9H2X3:OID30405:v1	C-type lectin domain family 4 member M	OID30405	Q9H2X3	CLEC4M	Cardiometabolic_II	B20706	Q9H2X3	CLEC4M	ENSG00000104938	19	7763210	7769605	1	1:100	D	yes
CLGN:O14967:OID30957:v1	Calmegin	OID30957	O14967	CLGN	Neurology_II	B20707	O14967	CLGN	ENSG00000153132	4	140388453	140427661	-1	1:1	B	yes
CLIC5:Q9NZA1:OID30890:v1	Chloride intracellular channel protein 5	OID30890	Q9NZA1	CLIC5	Neurology_II	B20707	Q9NZA1	CLIC5	ENSG00000112782	6	45880827	46080348	-1	1:1	B	yes
CLINT1:Q14677:OID31182:v1	Clathrin interactor 1	OID31182	Q14677	CLINT1	Oncology_II	B20705	Q14677	CLINT1	ENSG00000113282	5	157785743	157859145	-1	1:1	A	yes
CLNS1A:P54105:OID30929:v1	Methylosome subunit pICln	OID30929	P54105	CLNS1A	Neurology_II	B20707	P54105	CLNS1A	ENSG00000074201	11	77514936	77637794	-1	1:1	B	yes
CLSTN3:Q9BQT9:OID31092:v1	Calsyntenin-3	OID31092	Q9BQT9	CLSTN3	Neurology_II	B20707	Q9BQT9	CLSTN3	ENSG00000139182	12	7129698	7158945	1	1:1	D	yes
CLU:P10909:OID30732:v1	Clusterin	OID30732	P10909	CLU	Inflammation_II	B20704	P10909	CLU	ENSG00000120885	8	27596917	27614700	-1	1:100000	D	yes
CMC1:Q7Z7K0:OID30360:v1	COX assembly mitochondrial protein homolog	OID30360	Q7Z7K0	CMC1	Cardiometabolic_II	B20706	Q7Z7K0	CMC1	ENSG00000187118	3	28241584	28325142	1	1:10	C	yes
CMIP:Q8IY22:OID31406:v1	C-Maf-inducing protein	OID31406	Q8IY22	CMIP	Oncology_II	B20705	Q8IY22	CMIP	ENSG00000153815	16	81444808	81711762	1	1:1	C	yes
CNGB3:Q9NQW8:OID30805:v1	Cyclic nucleotide-gated cation channel beta-3	OID30805	Q9NQW8	CNGB3	Neurology_II	B20707	Q9NQW8	CNGB3	ENSG00000170289	8	86553977	86743675	-1	1:1	A	yes
CNP:P09543:OID30285:v1	2',3'-cyclic-nucleotide 3'-phosphodiesterase	OID30285	P09543	CNP	Cardiometabolic_II	B20706	P09543	CNP	ENSG00000173786	17	41966763	41977740	1	1:1	B	yes
CNTF:P26441:OID30807:v1	Ciliary neurotrophic factor	OID30807	P26441	CNTF	Neurology_II	B20707	P26441	CNTF	ENSG00000242689	11	58622665	58625733	1	1:1	A	yes
CNTNAP4:Q9C0A0:OID30911:v1	Contactin-associated protein-like 4	OID30911	Q9C0A0	CNTNAP4	Neurology_II	B20707	Q9C0A0	CNTNAP4	ENSG00000152910	16	76277278	76560757	1	1:1	B	yes
COCH:O43405:OID30305:v1	Cochlin	OID30305	O43405	COCH	Cardiometabolic_II	B20706	O43405	COCH	ENSG00000100473	14	30874514	30895065	1	1:10	C	yes
COL15A1:P39059:OID30396:v1	Collagen alpha-1(XV) chain	OID30396	P39059	COL15A1	Cardiometabolic_II	B20706	P39059	COL15A1	ENSG00000204291	9	98943179	99070792	1	1:100	D	yes
COL24A1:Q17RW2:OID31464:v1	Collagen alpha-1(XXIV) chain	OID31464	Q17RW2	COL24A1	Oncology_II	B20705	Q17RW2	COL24A1	ENSG00000171502	1	85729233	86156943	-1	1:1	D	yes
COL28A1:Q2UY09:OID30969:v1	Collagen alpha-1(XXVIII) chain	OID30969	Q2UY09	COL28A1	Neurology_II	B20707	Q2UY09	COL28A1	ENSG00000215018	7	7356203	7535873	-1	1:1	B	yes
COL2A1:P02458:OID30286:v1	Collagen alpha-1(II) chain	OID30286	P02458	COL2A1	Cardiometabolic_II	B20706	P02458	COL2A1	ENSG00000139219	12	47972967	48004554	-1	1:1	B	yes
COL3A1:P02461:OID30379:v1	Collagen alpha-1(III) chain	OID30379	P02461	COL3A1	Cardiometabolic_II	B20706	P02461	COL3A1	ENSG00000168542	2	188974373	189012746	1	1:100	D	yes
COL4A4:P53420:OID31333:v1	Collagen alpha-4(IV) chain	OID31333	P53420	COL4A4	Oncology_II	B20705	P53420	COL4A4	ENSG00000081052	2	227002714	227164453	-1	1:1	B	yes
COL5A1:P20908:OID30587:v1	Collagen alpha-1(V) chain	OID30587	P20908	COL5A1	Inflammation_II	B20704	P20908	COL5A1	ENSG00000130635	9	134641803	134844843	1	1:10	B	yes
COL9A2:Q14055:OID31255:v1	Collagen alpha-2(IX) chain	OID31255	Q14055	COL9A2	Oncology_II	B20705	Q14055	COL9A2	ENSG00000049089	1	40300489	40317813	-1	1:1	B	yes
COMMD1:Q8N668:OID30222:v1	COMM domain-containing protein 1	OID30222	Q8N668	COMMD1	Cardiometabolic_II	B20706	Q8N668	COMMD1	ENSG00000173163	2	61888724	62147247	1	1:1	B	yes
COMMD9:Q9P000:OID31390:v1	COMM domain-containing protein 9	OID31390	Q9P000	COMMD9	Oncology_II	B20705	Q9P000	COMMD9	ENSG00000110442	11	36269284	36289449	-1	1:1	C	yes
COPB2:P35606:OID30173:v1	Coatomer subunit beta'	OID30173	P35606	COPB2	Cardiometabolic_II	B20706	P35606	COPB2	ENSG00000184432	3	139353946	139389736	-1	1:1	A	yes
COQ7:Q99807:OID30217:v1	5-demethoxyubiquinone hydroxylase, mitochondrial	OID30217	Q99807	COQ7	Cardiometabolic_II	B20706	Q99807	COQ7	ENSG00000167186	16	19067614	19080095	1	1:1	B	yes
CORO6:Q6QEF8:OID30870:v1	Coronin-6	OID30870	Q6QEF8	CORO6	Neurology_II	B20707	Q6QEF8	CORO6	ENSG00000167549	17	29614756	29622912	-1	1:1	A	yes
COX6B1:P14854:OID30317:v1	Cytochrome c oxidase subunit 6B1	OID30317	P14854	COX6B1	Cardiometabolic_II	B20706	P14854	COX6B1	ENSG00000126267	19	35648323	35658782	1	1:10	C	yes
CPA4:Q9UI42:OID30606:v1	Carboxypeptidase A4	OID30606	Q9UI42	CPA4	Inflammation_II	B20704	Q9UI42	CPA4	ENSG00000128510	7	130293134	130324180	1	1:10	B	yes
CPB2:Q96IY4:OID30734:v1	Carboxypeptidase B2	OID30734	Q96IY4	CPB2	Inflammation_II	B20704	Q96IY4	CPB2	ENSG00000080618	13	46053186	46105033	-1	1:100000	D	yes
CPLX2:Q6PUV4:OID31186:v1	Complexin-2	OID31186	Q6PUV4	CPLX2	Oncology_II	B20705	Q6PUV4	CPLX2	ENSG00000145920	5	175796310	175884021	1	1:1	A	yes
CPOX:P36551:OID30495:v1	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial	OID30495	P36551	CPOX	Inflammation_II	B20704	P36551	CPOX	ENSG00000080819	3	98579446	98593648	-1	1:1	A	yes
CPQ:Q9Y646:OID30406:v1	Carboxypeptidase Q	OID30406	Q9Y646	CPQ	Cardiometabolic_II	B20706	Q9Y646	CPQ	ENSG00000104324	8	96645242	97149654	1	1:100	D	yes
CPTP:Q5TA50:OID30106:v1	Ceramide-1-phosphate transfer protein	OID30106	Q5TA50	CPTP	Cardiometabolic_II	B20706	Q5TA50	CPTP	ENSG00000224051	1	1324756	1328896	1	1:1	A	yes
CPXM2:Q8N436:OID30322:v1	Inactive carboxypeptidase-like protein X2	OID30322	Q8N436	CPXM2	Cardiometabolic_II	B20706	Q8N436	CPXM2	ENSG00000121898	10	123706207	123940267	-1	1:10	C	yes
CR1:P17927:OID30697:v1	Complement receptor type 1	OID30697	P17927	CR1	Inflammation_II	B20704	P17927	CR1	ENSG00000203710	1	207496147	207641765	1	1:1000	C	yes
CREB3:O43889:OID31188:v1	Cyclic AMP-responsive element-binding protein 3	OID31188	O43889	CREB3	Oncology_II	B20705	O43889	CREB3	ENSG00000107175	9	35732598	35736999	1	1:1	A	yes
CREBZF:Q9NS37:OID31206:v1	CREB/ATF bZIP transcription factor	OID31206	Q9NS37	CREBZF	Oncology_II	B20705	Q9NS37	CREBZF	ENSG00000137504	11	85657742	85682908	-1	1:1	A	yes
CRELD1:Q96HD1:OID30619:v1	Protein disulfide isomerase CRELD1	OID30619	Q96HD1	CRELD1	Inflammation_II	B20704	Q96HD1	CRELD1	ENSG00000163703	3	9933793	9945413	1	1:10	B	yes
CRISP3:P54108:OID30715:v1	Cysteine-rich secretory protein 3	OID30715	P54108	CRISP3	Inflammation_II	B20704	P54108	CRISP3	ENSG00000096006	6	49727376	49744437	-1	1:1000	C	yes
CRTAP:O75718:OID30902:v1	Cartilage-associated protein	OID30902	O75718	CRTAP	Neurology_II	B20707	O75718	CRTAP	ENSG00000170275	3	33114014	33147773	1	1:1	B	yes
CRYBB1:P53674:OID30319:v1	Beta-crystallin B1	OID30319	P53674	CRYBB1	Cardiometabolic_II	B20706	P53674	CRYBB1	ENSG00000100122	22	26599278	26618027	-1	1:10	C	yes
CRYBB2:P43320:OID31081:v1	Beta-crystallin B2	OID31081	P43320	CRYBB2	Neurology_II	B20707	P43320	CRYBB2	ENSG00000244752	22	25212564	25231870	1	1:1	D	yes
CRYGD:P07320:OID31144:v1	Gamma-crystallin D	OID31144	P07320	CRYGD	Neurology_II	B20707	P07320	CRYGD	ENSG00000118231	2	208121607	208124524	-1	1:1	D	yes
CRYM:Q14894:OID30815:v1	Ketimine reductase mu-crystallin	OID30815	Q14894	CRYM	Neurology_II	B20707	Q14894	CRYM	ENSG00000103316	16	21238874	21303083	-1	1:1	A	yes
CRYZL1:O95825:OID30272:v1	Quinone oxidoreductase-like protein 1	OID30272	O95825	CRYZL1	Cardiometabolic_II	B20706	O95825	CRYZL1	ENSG00000205758	21	33589341	33643926	-1	1:1	B	yes
CSDE1:O75534:OID30183:v1	Cold shock domain-containing protein E1	OID30183	O75534	CSDE1	Cardiometabolic_II	B20706	O75534	CSDE1	ENSG00000009307	1	114716913	114758676	-1	1:1	A	yes
CSF1R:P07333:OID30681:v1	Macrophage colony-stimulating factor 1 receptor	OID30681	P07333	CSF1R	Inflammation_II	B20704	P07333	CSF1R	ENSG00000182578	5	150053291	150113372	-1	1:1000	C	yes
CSF2:P04141:OID30072:v1	Granulocyte-macrophage colony-stimulating factor	OID30072	P04141	CSF2	Cardiometabolic_II	B20706	P04141	CSF2	ENSG00000164400	5	132073789	132076170	1	1:1	A	yes
CSF2RB:P32927:OID30553:v1	Cytokine receptor common subunit beta	OID30553	P32927	CSF2RB	Inflammation_II	B20704	P32927	CSF2RB	ENSG00000100368	22	36913628	36940439	1	1:1	A	yes
CSF3R:Q99062:OID30527:v1	Granulocyte colony-stimulating factor receptor	OID30527	Q99062	CSF3R	Inflammation_II	B20704	Q99062	CSF3R	ENSG00000119535	1	36466043	36483278	-1	1:1	A	yes
CSH1:P0DML2:OID30667:v1	Chorionic somatomammotropin hormone 1	OID30667	P0DML2	CSH1	Inflammation_II	B20704	P0DML2	CSH1	ENSG00000136488	17	63894909	63896661	-1	1:1000	C	yes
CSNK1D:P48730:OID30492:v1	Casein kinase I isoform delta	OID30492	P48730	CSNK1D	Inflammation_II	B20704	P48730	CSNK1D	ENSG00000141551	17	82239023	82273700	-1	1:1	A	yes
CSNK2A1:P68400:OID31053:v1	Casein kinase II subunit alpha	OID31053	P68400	CSNK2A1	Neurology_II	B20707	P68400	CSNK2A1	ENSG00000101266	20	472498	543835	-1	1:1	C	yes
CSPG4:Q6UVK1:OID30397:v1	Chondroitin sulfate proteoglycan 4	OID30397	Q6UVK1	CSPG4	Cardiometabolic_II	B20706	Q6UVK1	CSPG4	ENSG00000173546	15	75674322	75712848	-1	1:100	D	yes
CSPG5:O95196:OID30843:v1	Chondroitin sulfate proteoglycan 5	OID30843	O95196	CSPG5	Neurology_II	B20707	O95196	CSPG5	ENSG00000114646	3	47562238	47580792	-1	1:1	A	yes
CSRP3:P50461:OID30176:v1	Cysteine and glycine-rich protein 3	OID30176	P50461	CSRP3	Cardiometabolic_II	B20706	P50461	CSRP3	ENSG00000129170	11	19182030	19210571	-1	1:1	A	yes
CST1:P01037:OID30581:v1	Cystatin-SN	OID30581	P01037	CST1	Inflammation_II	B20704	P01037	CST1	ENSG00000170373	20	23747562	23751268	-1	1:10	B	yes
CTAG1A_CTAG1B:P78358:OID31299:v1	Cancer/testis antigen 1	OID31299	P78358	CTAG1A_CTAG1B	Oncology_II	B20705	P78358	CTAG1A	ENSG00000268651	X	154585133	154586816	1	1:1	B	yes
CTAG1A_CTAG1B:P78358:OID31299:v1	Cancer/testis antigen 1	OID31299	P78358	CTAG1A_CTAG1B	Oncology_II	B20705	P78358	CTAG1B	ENSG00000184033	X	154617609	154619282	-1	1:1	B	yes
CTBS:Q01459:OID30710:v1	Di-N-acetylchitobiase	OID30710	Q01459	CTBS	Inflammation_II	B20704	Q01459	CTBS	ENSG00000117151	1	84549611	84574480	-1	1:1000	C	yes
CTHRC1:Q96CG8:OID30393:v1	Collagen triple helix repeat-containing protein 1	OID30393	Q96CG8	CTHRC1	Cardiometabolic_II	B20706	Q96CG8	CTHRC1	ENSG00000164932	8	103371538	103382989	1	1:100	D	yes
CTLA4:P16410:OID30363:v1	Cytotoxic T-lymphocyte protein 4	OID30363	P16410	CTLA4	Cardiometabolic_II	B20706	P16410	CTLA4	ENSG00000163599	2	203853888	203873965	1	1:100	D	yes
CTNNA1:P35221:OID30800:v1	Catenin alpha-1	OID30800	P35221	CTNNA1	Neurology_II	B20707	P35221	CTNNA1	ENSG00000044115	5	138610967	138935034	1	1:1	A	yes
CTRL:P40313:OID31157:v1	Chymotrypsin-like protease CTRL-1	OID31157	P40313	CTRL	Neurology_II	B20707	P40313	CTRL	ENSG00000141086	16	67927640	67932365	-1	1:1	D	yes
CTSE:P14091:OID30628:v1	Cathepsin E	OID30628	P14091	CTSE	Inflammation_II	B20704	P14091	CTSE	ENSG00000196188	1	206008535	206023909	-1	1:10	B	yes
CUZD1:Q86UP6:OID30914:v1	CUB and zona pellucida-like domain-containing protein 1	OID30914	Q86UP6	CUZD1	Neurology_II	B20707	Q86UP6	CUZD1	ENSG00000138161	10	122832158	122846175	-1	1:1	B	yes
CWC15:Q9P013:OID31479:v1	Spliceosome-associated protein CWC15 homolog	OID31479	Q9P013	CWC15	Oncology_II	B20705	Q9P013	CWC15	ENSG00000150316	11	94962620	94973586	-1	1:1	D	yes
CYB5A:P00167:OID31171:v1	Cytochrome b5	OID31171	P00167	CYB5A	Oncology_II	B20705	P00167	CYB5A	ENSG00000166347	18	74250846	74291973	-1	1:1	A	yes
CYB5R2:Q6BCY4:OID31512:v1	NADH-cytochrome b5 reductase 2	OID31512	Q6BCY4	CYB5R2	Oncology_II	B20705	Q6BCY4	CYB5R2	ENSG00000166394	11	7665100	7677222	-1	1:1	D	yes
CYP24A1:Q07973:OID30091:v1	1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial	OID30091	Q07973	CYP24A1	Cardiometabolic_II	B20706	Q07973	CYP24A1	ENSG00000019186	20	54153446	54173986	-1	1:1	A	yes
CYTH3:O43739:OID31208:v1	Cytohesin-3	OID31208	O43739	CYTH3	Oncology_II	B20705	O43739	CYTH3	ENSG00000008256	7	6161776	6272644	-1	1:1	A	yes
CYTL1:Q9NRR1:OID30374:v1	Cytokine-like protein 1	OID30374	Q9NRR1	CYTL1	Cardiometabolic_II	B20706	Q9NRR1	CYTL1	ENSG00000170891	4	5014586	5019458	-1	1:100	D	yes
DAAM1:Q9Y4D1:OID30664:v1	Disheveled-associated activator of morphogenesis 1	OID30664	Q9Y4D1	DAAM1	Inflammation_II	B20704	Q9Y4D1	DAAM1	ENSG00000100592	14	59188646	59371405	1	1:10	B	yes
DAND5:Q8N907:OID30420:v1	DAN domain family member 5	OID30420	Q8N907	DAND5	Inflammation_II	B20704	Q8N907	DAND5	ENSG00000179284	19	12965159	12974760	1	1:1	A	yes
DAPK2:Q9UIK4:OID30505:v1	Death-associated protein kinase 2	OID30505	Q9UIK4	DAPK2	Inflammation_II	B20704	Q9UIK4	DAPK2	ENSG00000035664	15	63907036	64072033	-1	1:1	A	yes
DBH:P09172:OID30703:v1	Dopamine beta-hydroxylase	OID30703	P09172	DBH	Inflammation_II	B20704	P09172	DBH	ENSG00000123454	9	133636363	133659329	1	1:1000	C	yes
DBN1:Q16643:OID30549:v1	Drebrin	OID30549	Q16643	DBN1	Inflammation_II	B20704	Q16643	DBN1	ENSG00000113758	5	177456608	177474401	-1	1:1	A	yes
DCC:P43146:OID30953:v1	Netrin receptor DCC	OID30953	P43146	DCC	Neurology_II	B20707	P43146	DCC	ENSG00000187323	18	52340197	53535903	1	1:1	B	yes
DCDC2C:A8MYV0:OID31235:v1	Doublecortin domain-containing protein 2C	OID31235	A8MYV0	DCDC2C	Oncology_II	B20705	A8MYV0	DCDC2C	ENSG00000214866	2	3703575	3848008	1	1:1	A	yes
DCLRE1C:Q96SD1:OID31240:v1	Protein artemis	OID31240	Q96SD1	DCLRE1C	Oncology_II	B20705	Q96SD1	DCLRE1C	ENSG00000152457	10	14897359	14954432	-1	1:1	A	yes
DCTD:P32321:OID30657:v1	Deoxycytidylate deaminase	OID30657	P32321	DCTD	Inflammation_II	B20704	P32321	DCTD	ENSG00000129187	4	182890060	182917936	-1	1:10	B	yes
DCUN1D1:Q96GG9:OID30830:v1	DCN1-like protein 1	OID30830	Q96GG9	DCUN1D1	Neurology_II	B20707	Q96GG9	DCUN1D1	ENSG00000043093	3	182938074	182985953	-1	1:1	A	yes
DCUN1D2:Q6PH85:OID31231:v1	DCN1-like protein 2	OID31231	Q6PH85	DCUN1D2	Oncology_II	B20705	Q6PH85	DCUN1D2	ENSG00000150401	13	113455819	113490951	-1	1:1	A	yes
DDA1:Q9BW61:OID30126:v1	DET1- and DDB1-associated protein 1	OID30126	Q9BW61	DDA1	Cardiometabolic_II	B20706	Q9BW61	DDA1	ENSG00000130311	19	17309518	17323298	1	1:1	A	yes
DDHD2:O94830:OID31043:v1	Phospholipase DDHD2	OID31043	O94830	DDHD2	Neurology_II	B20707	O94830	DDHD2	ENSG00000085788	8	38225218	38275558	1	1:1	C	yes
DDI2:Q5TDH0:OID30602:v1	Protein DDI1 homolog 2	OID30602	Q5TDH0	DDI2	Inflammation_II	B20704	Q5TDH0	DDI2	ENSG00000197312	1	15617458	15669044	1	1:10	B	yes
DDT:P30046:OID30372:v1	D-dopachrome decarboxylase	OID30372	P30046	DDT	Cardiometabolic_II	B20706	P30046	DDT	ENSG00000099977	22	23970542	23980525	-1	1:100	D	yes
DDX1:Q92499:OID31518:v1	ATP-dependent RNA helicase DDX1	OID31518	Q92499	DDX1	Oncology_II	B20705	Q92499	DDX1	ENSG00000079785	2	15591178	15634346	1	1:1	D	yes
DDX25:Q9UHL0:OID30892:v1	ATP-dependent RNA helicase DDX25	OID30892	Q9UHL0	DDX25	Neurology_II	B20707	Q9UHL0	DDX25	ENSG00000109832	11	125903348	125943702	1	1:1	B	yes
DDX39A:O00148:OID30494:v1	ATP-dependent RNA helicase DDX39A	OID30494	O00148	DDX39A	Inflammation_II	B20704	O00148	DDX39A	ENSG00000123136	19	14408798	14419383	-1	1:1	A	yes
DDX4:Q9NQI0:OID30431:v1	Probable ATP-dependent RNA helicase DDX4	OID30431	Q9NQI0	DDX4	Inflammation_II	B20704	Q9NQI0	DDX4	ENSG00000152670	5	55738017	55817157	1	1:1	A	yes
DDX53:Q86TM3:OID30944:v1	Probable ATP-dependent RNA helicase DDX53	OID30944	Q86TM3	DDX53	Neurology_II	B20707	Q86TM3	DDX53	ENSG00000184735	X	22999960	23003589	1	1:1	B	yes
DEFB103A_DEFB103B:P81534:OID30534:v1	Beta-defensin 103	OID30534	P81534	DEFB103A_DEFB103B	Inflammation_II	B20704	P81534	DEFB103B	ENSG00000177243	8	7428888	7430348	-1	1:1	A	yes
DEFB103A_DEFB103B:P81534:OID30534:v1	Beta-defensin 103	OID30534	P81534	DEFB103A_DEFB103B	Inflammation_II	B20704	P81534	DEFB103A	ENSG00000176797	8	7881392	7882663	1	1:1	A	yes
DEFB104A_DEFB104B:Q8WTQ1:OID30849:v1	Beta-defensin 104	OID30849	Q8WTQ1	DEFB104A_DEFB104B	Neurology_II	B20707	Q8WTQ1	DEFB104B	ENSG00000177023	8	7470308	7475082	-1	1:1	A	yes
DEFB104A_DEFB104B:Q8WTQ1:OID30849:v1	Beta-defensin 104	OID30849	Q8WTQ1	DEFB104A_DEFB104B	Neurology_II	B20707	Q8WTQ1	DEFB104A	ENSG00000176782	8	7836436	7841242	1	1:1	A	yes
DEFB116:Q30KQ4:OID30823:v1	Beta-defensin 116	OID30823	Q30KQ4	DEFB116	Neurology_II	B20707	Q30KQ4	DEFB116	ENSG00000215545	20	31303212	31308585	-1	1:1	A	yes
DEFB118:Q96PH6:OID30858:v1	Beta-defensin 118	OID30858	Q96PH6	DEFB118	Neurology_II	B20707	Q96PH6	DEFB118	ENSG00000131068	20	31368601	31373923	1	1:1	A	yes
DENND2B:P78524:OID30050:v1	DENN domain-containing protein 2B	OID30050	P78524	DENND2B	Cardiometabolic_II	B20706	P78524	DENND2B	ENSG00000166444	11	8693351	8910951	-1	1:1	A	yes
DENR:O43583:OID30493:v1	Density-regulated protein	OID30493	O43583	DENR	Inflammation_II	B20704	O43583	DENR	ENSG00000139726	12	122752824	122771064	1	1:1	A	yes
DGCR6:Q14129:OID30859:v1	Protein DGCR6	OID30859	Q14129	DGCR6	Neurology_II	B20707	Q14129	DGCR6	ENSG00000183628	22	18906028	18914238	1	1:1	A	yes
